time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2014-08-12,15.875,63.625,10.233517,0.03265185,1.6230024e-05,0.34610882,39.15612413375466
2014-08-13,15.875,63.625,8.643172,0.007856265,1.5998665e-05,0.337077,37.333821808850324
2014-08-14,15.875,63.625,8.000459,4.7888575,1.6701453e-05,0.33916318,37.197646236530055
2014-08-15,15.875,63.625,8.148111,0.00040343154,1.557381e-05,0.33801755,37.06147066420979
2014-08-16,15.875,63.625,6.5168967,0.22026567,1.5434844e-05,0.33065078,36.925295091889524
2014-08-17,15.875,63.625,5.921223,5.7127523,1.6398151e-05,0.3375642,36.789119519569255
2014-08-18,15.875,63.625,1.2010045,26.224787,2.5193984e-05,0.36175126,36.652943947248986
2014-08-19,15.875,63.625,5.396652,3.4711888,1.6227374e-05,0.3815986,36.516768374928716
2014-08-20,15.875,63.625,5.991848,4.464798,1.6443586e-05,0.38150296,36.380592802608454
2014-08-21,15.875,63.625,5.071687,6.6994643,1.7284206e-05,0.38491148,36.244417230288185
2014-08-22,15.875,63.625,5.572448,7.957522,1.6893813e-05,0.3909126,36.22132077537201
2014-08-23,15.875,63.625,5.511937,4.6234784,1.613347e-05,0.3923146,36.198224320455836
2014-08-24,15.875,63.625,3.2334728,3.5076554,1.540531e-05,0.39002445,36.17512786553966
2014-08-25,15.875,63.625,4.4686275,4.3838534,1.5818805e-05,0.39203548,36.15203141062348
2014-08-26,15.875,63.625,6.3711686,0.1870924,1.4323863e-05,0.38580573,36.1289349557073
2014-08-27,15.875,63.625,7.226838,8.326673e-14,1.4253433e-05,0.37681526,36.10583850079112
2014-08-28,15.875,63.625,4.553229,0.1848842,1.4662383e-05,0.37022868,36.08274204587495
2014-08-29,15.875,63.625,4.6803536,0.405624,1.4782798e-05,0.36702314,36.05964559095877
2014-08-30,15.875,63.625,5.1130595,0.6509235,1.4830887e-05,0.36431685,35.08682190268128
2014-08-31,15.875,63.625,4.031396,0.13957727,1.4822179e-05,0.36052686,34.113998214403786
2014-09-01,15.875,63.625,4.4270115,0.024030149,1.4743891e-05,0.35702294,33.1411745261263
2014-09-02,15.875,63.625,5.5002675,0.3263788,1.494676e-05,0.35413152,32.168350837848806
2014-09-03,15.875,63.625,5.6722016,0.05663491,1.4729985e-05,0.35153025,31.195527149571312
2014-09-04,15.875,63.625,3.2217536,0.06704718,1.4652683e-05,0.3477808,30.22270346129382
2014-09-05,15.875,63.625,4.3262706,0.26574266,1.4690721e-05,0.3470168,29.24987977301633
2014-09-06,15.875,63.625,4.8589807,0.11433857,1.4842057e-05,0.34412557,28.277056084738835
2014-09-07,15.875,63.625,4.8061056,0.013344757,1.4684179e-05,0.34096193,27.105932779334207
2014-09-08,15.875,63.625,2.817976,0.2945525,1.472467e-05,0.33953583,25.93480947392958
2014-09-09,15.875,63.625,1.6485456,3.8363812,1.533123e-05,0.34633318,24.763686168524952
